region,2011 population
中西區,251519
九龍城,377351
元朗,578529
北區,304134
南區,278655
大埔,296853
屯門,487546
東區,588094
沙田,630273
油尖旺,307878
深水埗,380855
灣仔,152608
荃灣,304637
葵青,511167
西貢,436627
觀塘,622152
離島,141327
黃大仙,420183
