2011年按區議會選區、性別及年齡組別劃分的人口,(A303),,,,,,,,,,,,,,,,,,,
區議會選區,,,性別／年齡組別,,,,,,,,,,,,,,,,,
,,,男,,,,,,女,,,,,,合計,,,,,
,,,< 15,15 - 24,25 - 44,45 - 64,65+,小計,< 15,15 - 24,25 - 44,45 - 64,65+,小計,< 15,15 - 24,25 - 44,45 - 64,65+,總計
離島,-,東涌北, 1 394,  569, 3 075, 2 730,  774, 8 542, 1 190,  793, 4 912, 3 046,  645, 10 586, 2 584, 1 362, 7 987, 5 776, 1 419, 19 128
離島,-,東涌南,  985, 1 110, 2 214, 2 843,  805, 7 957,  889, 1 171, 3 083, 2 899,  955, 8 997, 1 874, 2 281, 5 297, 5 742, 1 760, 16 954
離島,-,愉景灣, 1 222,  248, 1 762, 1 730,  393, 5 355, 1 068,  277, 3 100, 2 176,  386, 7 007, 2 290,  525, 4 862, 3 906,  779, 12 362
離島,-,坪洲及喜靈洲,  329,  482, 1 339,  979,  478, 3 607,  312,  340, 1 166, 1 040,  583, 3 441,  641,  822, 2 505, 2 019, 1 061, 7 048
離島,-,南丫及蒲台,  420,  183,  983,  780,  323, 2 689,  403,  189, 1 518,  875,  339, 3 324,  823,  372, 2 501, 1 655,  662, 6 013
離島,-,長洲南,  781,  706, 1 671, 1 596,  679, 5 433,  744,  777, 2 201, 1 838,  815, 6 375, 1 525, 1 483, 3 872, 3 434, 1 494, 11 808
離島,-,長洲北,  667,  646, 1 586, 1 345,  819, 5 063,  608,  675, 1 921, 1 558, 1 107, 5 869, 1 275, 1 321, 3 507, 2 903, 1 926, 10 932
陸上總計,,, 426 212, 438 910, 932 179,1 066 818, 438 175,3 302 294, 397 225, 436 244,1 286 915,1 144 680, 503 030,3 768 094, 823 437, 875 154,2 219 094,2 211 498, 941 205,7 070 388
,,,,,,,,,,,,,,,,,,,,
資料來源,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
修訂日期,,,,,,,,,,,,,,,,,,,,
