2011年按區議會選區、性別及年齡組別劃分的人口,(A303),,,,,,,,,,,,,,,,,,,
區議會選區,,,性別／年齡組別,,,,,,,,,,,,,,,,,
,,,男,,,,,,女,,,,,,合計,,,,,
,,,< 15,15 - 24,25 - 44,45 - 64,65+,小計,< 15,15 - 24,25 - 44,45 - 64,65+,小計,< 15,15 - 24,25 - 44,45 - 64,65+,總計
灣仔,-,銅鑼灣,  511,  600, 2 059, 1 957, 1 308, 6 435,  516,  535, 2 444, 2 197, 1 486, 7 178, 1 027, 1 135, 4 503, 4 154, 2 794, 13 613
灣仔,-,大坑,  701,  489, 1 879, 1 946,  901, 5 916,  680,  608, 2 855, 2 213, 1 215, 7 571, 1 381, 1 097, 4 734, 4 159, 2 116, 13 487
灣仔,-,渣甸山,  980,  756, 1 401, 2 270,  743, 6 150,  873,  825, 3 720, 2 906, 1 059, 9 383, 1 853, 1 581, 5 121, 5 176, 1 802, 15 533
灣仔,-,樂活, 1 110,  661, 1 475, 1 989,  714, 5 949, 1 060,  703, 3 392, 2 474,  939, 8 568, 2 170, 1 364, 4 867, 4 463, 1 653, 14 517
灣仔,-,跑馬地,  590,  330, 2 150, 1 850,  856, 5 776,  600,  406, 3 038, 2 183, 1 225, 7 452, 1 190,  736, 5 188, 4 033, 2 081, 13 228
灣仔,-,司徒拔道,  857,  606, 1 377, 1 956, 1 050, 5 846,  790,  584, 3 397, 2 704, 1 140, 8 615, 1 647, 1 190, 4 774, 4 660, 2 190, 14 461
灣仔,-,修頓,  766,  715, 2 138, 2 170,  879, 6 668,  781,  586, 2 689, 2 033, 1 017, 7 106, 1 547, 1 301, 4 827, 4 203, 1 896, 13 774
灣仔,-,大佛口,  541,  689, 2 300, 2 145,  876, 6 551,  541,  577, 2 244, 2 147, 1 125, 6 634, 1 082, 1 266, 4 544, 4 292, 2 001, 13 185
東區,-,太古城西, 1 220,  759, 1 953, 2 734, 1 046, 7 712, 1 180, 1 038, 3 775, 3 182, 1 184, 10 359, 2 400, 1 797, 5 728, 5 916, 2 230, 18 071
東區,-,太古城東, 1 045,  864, 2 113, 2 950, 1 408, 8 380, 1 154,  835, 3 857, 3 600, 1 546, 10 992, 2 199, 1 699, 5 970, 6 550, 2 954, 19 372
東區,-,鯉景灣, 1 206,  850, 2 688, 3 109, 1 558, 9 411, 1 103, 1 026, 3 875, 3 198, 1 650, 10 852, 2 309, 1 876, 6 563, 6 307, 3 208, 20 263
東區,-,愛秩序灣,  979, 1 004, 2 399, 2 756, 1 786, 8 924,  976,  935, 3 115, 2 941, 2 375, 10 342, 1 955, 1 939, 5 514, 5 697, 4 161, 19 266
東區,-,筲箕灣,  761,  785, 1 836, 2 374,  893, 6 649,  683,  746, 2 321, 2 243, 1 037, 7 030, 1 444, 1 531, 4 157, 4 617, 1 930, 13 679
東區,-,阿公岩, 1 113,  953, 2 982, 3 048, 1 684, 9 780, 1 094,  859, 3 491, 3 073, 2 096, 10 613, 2 207, 1 812, 6 473, 6 121, 3 780, 20 393
東區,-,杏花邨, 1 184, 1 058, 2 003, 3 519,  848, 8 612, 1 090, 1 135, 3 619, 3 672, 1 058, 10 574, 2 274, 2 193, 5 622, 7 191, 1 906, 19 186
東區,-,翠灣,  659,  834, 1 714, 2 112, 1 013, 6 332,  577,  786, 2 046, 2 211, 1 137, 6 757, 1 236, 1 620, 3 760, 4 323, 2 150, 13 089
東區,-,欣藍, 1 271,  990, 2 102, 2 775,  631, 7 769, 1 195,  825, 3 620, 2 774,  827, 9 241, 2 466, 1 815, 5 722, 5 549, 1 458, 17 010
東區,-,小西灣,  600, 1 033, 1 816, 2 334,  954, 6 737,  577, 1 071, 1 925, 2 415, 1 237, 7 225, 1 177, 2 104, 3 741, 4 749, 2 191, 13 962
東區,-,景怡,  881,  952, 1 805, 2 887,  980, 7 505,  839,  944, 2 554, 2 918, 1 266, 8 521, 1 720, 1 896, 4 359, 5 805, 2 246, 16 026
東區,-,環翠,  695, 1 169, 1 965, 2 302, 1 213, 7 344,  603, 1 019, 2 128, 2 610, 1 303, 7 663, 1 298, 2 188, 4 093, 4 912, 2 516, 15 007
東區,-,翡翠,  717,  942, 1 825, 2 437, 1 547, 7 468,  670,  847, 2 154, 2 660, 1 759, 8 090, 1 387, 1 789, 3 979, 5 097, 3 306, 15 558
東區,-,柏架山,  774,  682, 1 925, 2 044, 1 054, 6 479,  729,  705, 2 411, 2 218, 1 145, 7 208, 1 503, 1 387, 4 336, 4 262, 2 199, 13 687
東區,-,寶馬山, 1 120,  809, 1 565, 2 514,  803, 6 811, 1 122,  841, 4 178, 3 243,  972, 10 356, 2 242, 1 650, 5 743, 5 757, 1 775, 17 167
東區,-,天后,  598,  588, 1 751, 2 066, 1 512, 6 515,  500,  587, 2 554, 2 498, 1 616, 7 755, 1 098, 1 175, 4 305, 4 564, 3 128, 14 270
東區,-,炮台山,  859,  733, 1 971, 2 303, 1 157, 7 023,  845,  732, 3 352, 2 674, 1 436, 9 039, 1 704, 1 465, 5 323, 4 977, 2 593, 16 062
東區,-,維園,  653,  540, 1 837, 2 185, 1 168, 6 383,  667,  634, 2 783, 2 414, 1 369, 7 867, 1 320, 1 174, 4 620, 4 599, 2 537, 14 250
東區,-,城市花園,  810,  679, 1 974, 2 315, 1 129, 6 907,  761,  854, 3 082, 2 602, 1 407, 8 706, 1 571, 1 533, 5 056, 4 917, 2 536, 15 613
東區,-,和富,  975,  924, 2 606, 2 884, 1 842, 9 231,  907,  998, 3 630, 3 440, 2 057, 11 032, 1 882, 1 922, 6 236, 6 324, 3 899, 20 263
東區,-,堡壘,  902,  806, 2 130, 2 161,  938, 6 937,  863,  688, 2 723, 2 256, 1 304, 7 834, 1 765, 1 494, 4 853, 4 417, 2 242, 14 771
東區,-,錦屏,  961,  798, 2 264, 2 686, 1 346, 8 055,  884,  747, 2 977, 2 841, 1 500, 8 949, 1 845, 1 545, 5 241, 5 527, 2 846, 17 004
東區,-,丹拿,  826,  734, 1 826, 2 241,  897, 6 524,  707,  724, 3 059, 2 640, 1 076, 8 206, 1 533, 1 458, 4 885, 4 881, 1 973, 14 730
東區,-,健康村,  675,  810, 1 748, 2 235, 1 356, 6 824,  640,  944, 2 356, 2 390, 1 740, 8 070, 1 315, 1 754, 4 104, 4 625, 3 096, 14 894
東區,-,鰂魚涌,  717,  653, 2 010, 2 013, 1 185, 6 578,  622,  773, 2 515, 2 293, 1 249, 7 452, 1 339, 1 426, 4 525, 4 306, 2 434, 14 030
東區,-,南豐,  797,  682, 1 705, 2 228, 1 043, 6 455,  650,  663, 2 662, 2 621, 1 230, 7 826, 1 447, 1 345, 4 367, 4 849, 2 273, 14 281
東區,-,康怡,  987,  794, 1 760, 2 391,  694, 6 626,  921,  793, 3 045, 2 731,  820, 8 310, 1 908, 1 587, 4 805, 5 122, 1 514, 14 936
東區,-,康山,  774,  675, 1 610, 2 303,  849, 6 211,  733,  681, 2 576, 2 638, 1 338, 7 966, 1 507, 1 356, 4 186, 4 941, 2 187, 14 177
東區,-,興東,  980, 1 157, 2 295, 3 299, 1 297, 9 028,  959, 1 130, 3 023, 3 542, 1 513, 10 167, 1 939, 2 287, 5 318, 6 841, 2 810, 19 195
東區,-,西灣河, 1 054,  929, 2 552, 3 177, 1 334, 9 046,  958,  985, 3 463, 3 204, 1 531, 10 141, 2 012, 1 914, 6 015, 6 381, 2 865, 19 187
東區,-,下耀東,  843, 1 102, 2 068, 2 701, 1 238, 7 952,  714, 1 169, 2 464, 2 702, 1 428, 8 477, 1 557, 2 271, 4 532, 5 403, 2 666, 16 429
東區,-,上耀東,  618, 1 076, 1 464, 2 287,  913, 6 358,  531, 1 042, 1 728, 2 451,  990, 6 742, 1 149, 2 118, 3 192, 4 738, 1 903, 13 100
東區,-,興民,  656, 1 110, 1 749, 2 403, 1 141, 7 059,  710, 1 133, 1 966, 2 582, 1 411, 7 802, 1 366, 2 243, 3 715, 4 985, 2 552, 14 861
東區,-,樂康,  594,  782, 1 451, 2 133,  749, 5 709,  585,  743, 1 995, 2 428,  904, 6 655, 1 179, 1 525, 3 446, 4 561, 1 653, 12 364
東區,-,翠德,  772,  877, 1 815, 2 165,  761, 6 390,  813,  807, 2 449, 2 226,  830, 7 125, 1 585, 1 684, 4 264, 4 391, 1 591, 13 515
東區,-,漁灣,  929,  922, 1 719, 2 388, 1 248, 7 206,  727,  864, 2 136, 2 446, 1 401, 7 574, 1 656, 1 786, 3 855, 4 834, 2 649, 14 780
東區,-,佳曉,  666, 1 059, 1 752, 2 193,  946, 6 616,  609,  970, 2 005, 2 467,  979, 7 030, 1 275, 2 029, 3 757, 4 660, 1 925, 13 646
南區,-,香港仔, 1 094, 1 165, 2 901, 3 114, 1 087, 9 361, 1 042, 1 259, 3 862, 3 201, 1 308, 10 672, 2 136, 2 424, 6 763, 6 315, 2 395, 20 033
南區,-,鴨脷洲邨,  599,  745, 1 999, 1 767, 1 203, 6 313,  486,  791, 1 908, 2 248, 1 330, 6 763, 1 085, 1 536, 3 907, 4 015, 2 533, 13 076
南區,-,鴨脷洲北,  825,  723, 1 874, 2 023,  629, 6 074,  782,  783, 2 614, 2 058,  873, 7 110, 1 607, 1 506, 4 488, 4 081, 1 502, 13 184
南區,-,利東一,  497, 1 094, 2 248, 2 560,  740, 7 139,  466, 1 104, 2 408, 3 029,  701, 7 708,  963, 2 198, 4 656, 5 589, 1 441, 14 847
南區,-,利東二,  443,  749, 1 953, 2 221, 1 200, 6 566,  361,  699, 1 915, 2 668, 1 256, 6 899,  804, 1 448, 3 868, 4 889, 2 456, 13 465
南區,-,海怡東, 1 173,  924, 1 425, 2 818,  478, 6 818, 1 135,  917, 3 093, 2 708,  744, 8 597, 2 308, 1 841, 4 518, 5 526, 1 222, 15 415
南區,-,海怡西, 1 215, 1 043, 1 392, 2 813,  549, 7 012, 1 103, 1 106, 3 130, 3 006,  745, 9 090, 2 318, 2 149, 4 522, 5 819, 1 294, 16 102
南區,-,華貴,  599,  970, 1 768, 2 446, 1 294, 7 077,  517,  976, 2 160, 2 673, 1 514, 7 840, 1 116, 1 946, 3 928, 5 119, 2 808, 14 917
南區,-,華富一,  608,  855, 1 498, 1 711, 1 447, 6 119,  573,  806, 1 798, 2 107, 1 729, 7 013, 1 181, 1 661, 3 296, 3 818, 3 176, 13 132
南區,-,華富二,  810,  941, 2 006, 2 101, 1 366, 7 224,  651, 1 031, 2 145, 2 461, 1 309, 7 597, 1 461, 1 972, 4 151, 4 562, 2 675, 14 821
南區,-,薄扶林, 1 686, 1 149, 2 014, 2 846,  728, 8 423, 1 580, 1 124, 4 919, 3 432, 1 022, 12 077, 3 266, 2 273, 6 933, 6 278, 1 750, 20 500
南區,-,置富,  833,  942, 1 743, 2 663, 1 019, 7 200,  817,  962, 3 143, 3 239, 1 180, 9 341, 1 650, 1 904, 4 886, 5 902, 2 199, 16 541
南區,-,田灣,  960, 1 093, 2 351, 2 547, 1 380, 8 331,  795, 1 165, 2 728, 2 661, 1 746, 9 095, 1 755, 2 258, 5 079, 5 208, 3 126, 17 426
南區,-,石漁,  959, 1 194, 2 591, 2 886, 1 846, 9 476,  872, 1 163, 2 729, 3 038, 2 066, 9 868, 1 831, 2 357, 5 320, 5 924, 3 912, 19 344
南區,-,黃竹坑,  750,  656, 2 293, 2 322, 1 379, 7 400,  711,  594, 2 891, 2 355, 2 061, 8 612, 1 461, 1 250, 5 184, 4 677, 3 440, 16 012
南區,-,海灣, 1 415,  843, 1 503, 2 354,  569, 6 684, 1 240,  671, 4 207, 3 294,  470, 9 882, 2 655, 1 514, 5 710, 5 648, 1 039, 16 566
南區,-,赤柱及石澳, 1 581, 1 362, 3 506, 4 032,  961, 11 442, 1 595, 1 252, 4 609, 3 436,  940, 11 832, 3 176, 2 614, 8 115, 7 468, 1 901, 23 274
油尖旺,-,尖沙咀西, 1 417,  572, 2 365, 2 614,  549, 7 517, 1 366,  602, 4 401, 2 595,  591, 9 555, 2 783, 1 174, 6 766, 5 209, 1 140, 17 072
油尖旺,-,佐敦東, 1 101,  903, 2 807, 2 870, 1 688, 9 369, 1 072,  968, 4 042, 3 225, 1 890, 11 197, 2 173, 1 871, 6 849, 6 095, 3 578, 20 566
油尖旺,-,佐敦西, 1 381, 1 018, 3 023, 2 879, 1 540, 9 841, 1 211, 1 037, 3 721, 3 165, 1 707, 10 841, 2 592, 2 055, 6 744, 6 044, 3 247, 20 682
油尖旺,-,油麻地, 1 486, 1 141, 3 116, 3 295, 1 534, 10 572, 1 386, 1 034, 4 338, 3 286, 1 602, 11 646, 2 872, 2 175, 7 454, 6 581, 3 136, 22 218
油尖旺,-,富榮, 1 168,  799, 2 557, 2 401, 1 123, 8 048, 1 180,  725, 3 674, 2 737, 1 397, 9 713, 2 348, 1 524, 6 231, 5 138, 2 520, 17 761
油尖旺,-,旺角西, 1 320, 1 075, 2 859, 2 914, 1 387, 9 555, 1 181, 1 103, 3 511, 3 056, 1 578, 10 429, 2 501, 2 178, 6 370, 5 970, 2 965, 19 984
油尖旺,-,富柏, 1 584, 1 229, 2 513, 2 579, 1 249, 9 154, 1 560, 1 148, 4 023, 2 715, 1 499, 10 945, 3 144, 2 377, 6 536, 5 294, 2 748, 20 099
油尖旺,-,奧運, 1 118,  423, 2 639, 1 674,  339, 6 193, 1 001,  513, 4 075, 1 718,  424, 7 731, 2 119,  936, 6 714, 3 392,  763, 13 924
油尖旺,-,櫻桃,  869,  726, 1 792, 1 873,  879, 6 139,  761,  642, 2 166, 2 015, 1 007, 6 591, 1 630, 1 368, 3 958, 3 888, 1 886, 12 730
油尖旺,-,大角咀南,  817,  886, 2 062, 1 992, 1 257, 7 014,  774,  868, 2 338, 2 218, 1 332, 7 530, 1 591, 1 754, 4 400, 4 210, 2 589, 14 544
油尖旺,-,大角咀北, 1 452,  884, 3 331, 2 215,  947, 8 829, 1 369,  850, 4 364, 2 338, 1 056, 9 977, 2 821, 1 734, 7 695, 4 553, 2 003, 18 806
油尖旺,-,大南, 1 302, 1 127, 2 869, 3 447, 1 477, 10 222, 1 202, 1 183, 3 693, 3 225, 1 744, 11 047, 2 504, 2 310, 6 562, 6 672, 3 221, 21 269
